P1;P2;P3;P4;P5;P6;T_Final
02:52:01;04:14:12;05:56:53;06:25:24;08:34:23;10:36:25;11:43:18
02:43:32;04:13:40;06:11:44;06:48:12;09:16:50;11:14:02;12:18:22
03:08:03;04:39:34;06:29:37;06:59:38;09:40:45;12:08:35;13:23:45
03:15:20;04:48:13;06:37:29;07:05:43;09:39:46;12:09:50;13:20:18
03:15:53;04:56:32;06:55:22;07:33:08;10:19:46;12:46:40;14:23:46
03:58:51;06:17:00;08:46:20;09:29:42;13:47:25;17:15:03;18:57:02
03:55:40;05:53:22;08:35:09;09:14:59;12:35:20;15:23:34;16:52:21
03:38:03;05:41:44;07:53:59;08:31:04;12:15:29;15:41:05;17:15:32
02:35:54;03:48:45;05:21:29;05:47:24;07:48:45;09:51:01;10:58:21
03:59:20;06:21:55;08:44:54;09:24:44;13:14:18;16:48:11;18:37:55
03:04:57;04:37:07;06:22:26;06:49:25;09:17:40;11:27:32;12:32:52
03:07:56;04:34:53;06:21:43;06:49:35;09:01:44;11:15:09;12:33:34
03:36:29;05:38:10;08:11:50;08:54:13;12:17:58;15:36:53;17:14:44
03:27:19;05:12:12;07:15:49;07:50:08;10:53:50;13:41:44;15:11:33
03:51:57;06:07:28;08:39:04;09:24:40;13:45:20;17:27:26;19:55:25
02:34:07;03:56:35;05:24:37;05:51:57;07:59:11;09:56:16;10:51:39
04:03:08;06:44:24;09:28:32;10:16:09;14:25:59;18:26:08;20:14:56
03:24:43;05:17:14;07:36:15;08:16:03;11:20:17;14:19:10;15:42:43
04:09:09;06:26:10;09:09:20;09:49:51;13:39:10;17:15:20;19:28:02
03:17:28;04:57:21;06:59:29;07:32:36;11:03:03;14:31:10;15:53:33
03:04:54;04:49:50;06:34:36;07:03:44;09:23:22;11:39:34;12:49:47
02:45:31;04:11:19;05:49:42;06:15:52;08:39:19;11:26:37;12:38:51
03:18:25;05:10:14;07:14:41;07:51:24;11:14:39;14:06:30;15:56:30
03:43:14;05:55:24;08:25:34;09:04:00;12:53:48;16:32:32;18:29:20
02:48:52;04:17:34;06:06:22;06:35:32;09:11:41;11:26:27;12:31:32
03:25:26;05:03:15;06:54:20;07:24:30;09:44:17;11:56:41;13:08:39
03:58:54;06:17:01;08:46:29;09:31:09;13:47:28;17:15:04;18:57:04
03:09:36;04:51:57;06:53:35;07:26:42;10:47:31;12:26:39;13:23:45
03:06:54;04:29:49;06:08:01;06:35:11;08:50:50;11:07:28;12:11:27
03:28:40;05:14:10;07:29:06;08:02:37;11:02:14;13:45:00;15:11:01
03:44:55;05:51:48;08:12:54;08:54:25;12:54:39;16:34:37;18:14:20
